교과목명,학점,,,,,,,,,,,,,,,,,,,,,,,,,,,
글로벌무역과마케팅,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
글로벌무역실무,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
글로벌수출입전략,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
글로벌시대의대중문화론,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
글로벌에콜로지컬히스토리,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
글로벌인적자원이해,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
글로벌전략경영론,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
글로벌한국문화,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
글로벌한국사,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
금서의문화사,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
금속조1(캡스톤디자인),2,,,,,,,,,,,,,,,,,,,,,,,,,,,
금융경제학,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
금융공학입문,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
금융론,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
금융사례분석,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
금융산업의이해,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
금융수학,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
기계설계,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
기계제도,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
기계학습,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
기계학습기반범죄예측,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
기기분석실험,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
기능성식품학1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
기능해부학,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
기능회복트레이닝,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
기사작성실습,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
기술보고서작성및발표,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
기술창업캡스톤디자인1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
기술창조와특허,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
기술혁신경영,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
기업가정신과 리더십,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
기업가치평가,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
